region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-9.16,-55.76,0.0,0.0,0.0,0.00,0.00,186.12,13.64,0.92,0.40
2,-9.16,-53.25,0.0,0.0,0.0,0.00,0.00,173.10,13.16,0.98,0.20
3,-6.53,-50.74,0.0,0.0,0.0,0.00,0.00,74.83,8.65,-0.94,-0.34
4,-6.53,-48.23,0.0,0.0,0.0,0.00,0.00,163.58,12.79,-0.93,-0.36
5,-69.02,-45.72,0.0,0.0,0.0,383.19,19.58,72.33,8.50,-0.58,0.81
6,-62.55,-45.72,0.0,0.0,0.0,157.04,12.53,81.67,9.04,-0.81,0.58
7,-57.32,-45.72,0.0,0.0,0.0,505.75,22.49,77.76,8.82,-0.88,0.47
8,-52.75,-45.72,0.0,0.0,0.0,677.64,26.03,87.28,9.34,-0.99,-0.17
9,-48.63,-45.72,0.0,0.0,0.0,486.31,22.05,72.89,8.54,-0.94,-0.34
10,-19.94,-45.72,0.0,0.0,0.0,49.97,7.07,59.10,7.69,-0.81,0.59
11,-14.48,-45.72,0.0,0.0,0.0,780.53,27.94,90.32,9.50,-1.00,-0.09
12,-6.53,-45.72,0.0,0.0,0.0,0.00,0.00,244.99,15.65,-0.96,-0.30
13,-69.02,-43.21,0.0,0.0,0.0,716.05,26.76,154.60,12.43,-0.93,0.36
14,-62.55,-43.21,0.0,0.0,0.0,200.00,14.14,120.31,10.97,-0.31,-0.95
15,-57.32,-43.21,0.0,0.0,0.0,610.53,24.71,222.85,14.93,-0.99,0.14
16,-52.75,-43.21,0.0,0.0,0.0,1257.47,35.46,254.86,15.96,-0.94,0.35
17,-48.63,-43.21,0.0,0.0,0.0,1077.10,32.82,250.94,15.84,-0.95,0.32
18,-44.82,-43.21,0.0,0.0,0.0,553.04,23.52,194.09,13.93,-1.00,-0.06
19,-41.25,-43.21,0.0,0.0,0.0,232.20,15.24,64.41,8.03,-0.94,0.34
20,-22.74,-43.21,0.0,0.0,0.0,226.04,15.03,57.59,7.59,-0.94,-0.34
21,-19.94,-43.21,0.0,0.0,0.0,592.35,24.34,240.13,15.50,-0.93,-0.37
22,-17.19,-43.21,0.0,0.0,0.0,292.71,17.11,294.23,17.15,-0.98,-0.18
23,-14.48,-43.21,0.0,0.0,0.0,200.00,14.14,289.81,17.02,-0.05,1.00
24,-69.02,-40.70,0.0,0.0,0.0,1230.91,35.08,250.97,15.84,-0.98,0.19
25,-62.55,-40.70,0.0,0.0,0.0,200.00,14.14,199.77,14.13,-0.81,-0.59
26,-57.32,-40.70,0.0,0.0,0.0,200.00,14.14,372.89,19.31,-1.00,0.05
27,-52.75,-40.70,0.0,0.0,0.0,1291.97,35.94,408.93,20.22,-0.93,-0.36
28,-48.63,-40.70,0.0,0.0,0.0,366.74,19.15,430.31,20.74,-0.99,0.16
