region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
1,-44.82,-178.75,1.19,0.07,1.0,0.0,0.0,-44.82,-178.75,44.82,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.99
2,-41.25,-178.75,1.21,0.08,1.0,0.0,0.0,-41.25,-178.75,41.25,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.61
3,-14.48,-178.75,2.61,0.42,1.0,0.0,0.0,-14.48,-178.75,14.48,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.61
4,69.02,-178.75,0.74,-0.13,0.0,0.0,0.0,69.02,-178.75,69.02,334.51,18.29,2.60,128.46,11.33,1.67,0.52,0.86
5,69.02,-176.24,0.71,-0.15,1.0,0.0,0.0,69.02,-176.24,69.02,406.02,20.15,2.79,113.04,10.63,1.55,-0.26,0.97
6,62.55,-173.73,1.07,0.03,0.0,0.0,0.0,62.55,-173.73,62.55,4.71,2.17,0.09,40.20,6.34,0.74,-0.99,-0.14
7,69.02,-173.73,0.71,-0.15,1.0,0.0,0.0,69.02,-173.73,69.02,278.29,16.68,2.42,109.40,10.46,1.52,0.08,1.00
8,62.55,-171.22,1.06,0.02,0.0,0.0,0.0,62.55,-171.22,62.55,21.29,4.61,0.41,110.97,10.53,1.54,-0.84,-0.54
9,69.02,-171.22,0.73,-0.14,0.0,0.0,0.0,69.02,-171.22,69.02,115.19,10.73,1.57,109.37,10.46,1.52,0.07,1.00
10,62.55,-168.71,1.04,0.02,0.0,0.0,0.0,62.55,-168.71,62.55,28.22,5.31,0.54,149.96,12.25,1.82,-0.64,-0.77
11,69.02,-168.71,0.68,-0.17,0.0,0.0,0.0,69.02,-168.71,69.02,68.75,8.29,1.12,109.34,10.46,1.52,0.07,1.00
12,62.55,-166.20,1.02,0.01,0.0,0.0,0.0,62.55,-166.20,62.55,50.48,7.10,0.89,245.00,15.65,2.29,-0.73,-0.69
13,69.02,-166.20,0.67,-0.18,0.0,0.0,0.0,69.02,-166.20,69.02,56.77,7.53,0.97,109.31,10.46,1.52,0.07,1.00
14,62.55,-163.69,1.04,0.02,0.0,0.0,0.0,62.55,-163.69,62.55,77.71,8.82,1.22,284.13,16.86,2.44,0.04,-1.00
15,69.02,-163.69,0.74,-0.13,0.0,0.0,0.0,69.02,-163.69,69.02,68.70,8.29,1.12,109.29,10.45,1.52,0.06,1.00
16,62.55,-161.18,1.07,0.03,0.0,0.0,0.0,62.55,-161.18,62.55,96.90,9.84,1.42,284.11,16.86,2.44,0.03,-1.00
17,69.02,-161.18,0.74,-0.13,0.0,0.0,0.0,69.02,-161.18,69.02,67.78,8.23,1.11,109.26,10.45,1.52,0.06,1.00
18,57.32,-158.67,1.21,0.08,0.0,0.0,0.0,57.32,-158.67,57.32,101.50,10.07,1.46,28.71,5.36,0.55,-0.70,0.72
19,62.55,-158.67,1.15,0.06,0.0,0.0,0.0,62.55,-158.67,62.55,106.38,10.31,1.50,284.09,16.86,2.44,0.03,-1.00
20,69.02,-158.67,0.76,-0.12,0.0,0.0,0.0,69.02,-158.67,69.02,98.71,9.94,1.43,130.35,11.42,1.69,-0.54,0.84
21,62.55,-156.16,1.17,0.07,0.0,0.0,0.0,62.55,-156.16,62.55,358.37,18.93,2.67,284.08,16.85,2.44,0.03,-1.00
22,69.02,-156.16,0.83,-0.08,0.0,0.0,0.0,69.02,-156.16,69.02,240.94,15.52,2.28,201.16,14.18,2.10,-0.82,0.57
23,57.32,-153.65,1.19,0.08,1.0,0.0,0.0,57.32,-153.65,57.32,0.00,0.00,0.00,0.00,0.00,0.00,0.55,-0.84
24,62.55,-153.65,1.10,0.04,0.0,0.0,0.0,62.55,-153.65,62.55,287.09,16.94,2.45,269.03,16.40,2.38,0.92,-0.40
25,69.02,-153.65,0.68,-0.17,0.0,0.0,0.0,69.02,-153.65,69.02,333.24,18.25,2.60,288.05,16.97,2.45,-0.90,0.43
26,62.55,-151.14,1.43,0.15,0.0,0.0,0.0,62.55,-151.14,62.55,332.26,18.23,2.59,161.62,12.71,1.89,0.70,-0.71
27,69.02,-151.14,0.82,-0.09,0.0,0.0,0.0,69.02,-151.14,69.02,405.55,20.14,2.79,331.48,18.21,2.59,0.01,1.00
28,62.55,-148.63,1.23,0.09,0.0,0.0,0.0,62.55,-148.63,62.55,1125.86,33.55,3.81,58.02,7.62,0.99,1.00,-0.09
29,69.02,-148.63,0.74,-0.13,0.0,0.0,0.0,69.02,-148.63,69.02,392.44,19.81,2.76,331.73,18.21,2.59,-0.04,1.00
30,62.55,-146.12,1.31,0.12,0.0,0.0,0.0,62.55,-146.12,62.55,36.37,6.03,0.67,45.79,6.77,0.82,-0.99,-0.12
31,69.02,-146.12,0.67,-0.18,0.0,0.0,0.0,69.02,-146.12,69.02,256.74,16.02,2.34,299.53,17.31,2.49,0.37,0.93
32,62.55,-143.61,1.54,0.19,0.0,0.0,0.0,62.55,-143.61,62.55,1016.05,31.88,3.71,31.60,5.62,0.60,0.98,-0.18
33,69.02,-143.61,0.71,-0.15,1.0,0.0,0.0,69.02,-143.61,69.02,767.17,27.70,3.42,276.77,16.64,2.41,0.08,1.00
34,62.55,-141.10,1.27,0.10,1.0,0.0,0.0,62.55,-141.10,62.55,824.88,28.72,3.50,21.62,4.65,0.42,-0.96,-0.27
35,69.02,-141.10,0.78,-0.11,1.0,0.0,1.0,69.02,-141.10,69.02,775.53,27.85,3.44,275.87,16.61,2.41,0.01,1.00
36,62.55,-138.59,1.45,0.16,0.0,0.0,0.0,62.55,-138.59,62.55,972.38,31.18,3.66,95.64,9.78,1.40,-0.77,-0.64
37,69.02,-138.59,0.72,-0.14,0.0,0.0,0.0,69.02,-138.59,69.02,458.48,21.41,2.91,275.86,16.61,2.41,0.01,1.00
38,62.55,-136.08,1.40,0.15,0.0,0.0,0.0,62.55,-136.08,62.55,1336.55,36.56,3.98,126.71,11.26,1.66,-0.39,-0.92
39,69.02,-136.08,0.71,-0.15,1.0,0.0,0.0,69.02,-136.08,69.02,329.07,18.14,2.58,258.70,16.08,2.35,0.50,0.87
40,62.55,-133.57,1.61,0.21,0.0,0.0,0.0,62.55,-133.57,62.55,1470.67,38.35,4.07,126.91,11.27,1.66,-0.39,-0.92
41,69.02,-133.57,0.75,-0.13,1.0,0.0,0.0,69.02,-133.57,69.02,236.42,15.38,2.26,202.46,14.23,2.11,0.56,0.83
42,62.55,-131.06,1.48,0.17,0.0,0.0,1.0,62.55,-131.06,62.55,627.40,25.05,3.22,214.46,14.64,2.16,-0.85,-0.52
43,69.02,-131.06,0.60,-0.22,0.0,0.0,0.0,69.02,-131.06,69.02,502.04,22.41,3.00,121.69,11.03,1.62,1.00,0.01
