region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,69.02,-173.73,0.0,0.0,0.0,0.00,0.00,63.87,7.99,0.85,0.53
2,22.74,-78.35,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.86,-0.50
3,69.02,-65.80,0.0,0.0,0.0,0.00,0.00,28.65,5.35,1.00,0.09
4,62.55,-63.29,0.0,0.0,0.0,0.00,0.00,65.76,8.11,-0.57,-0.82
5,62.55,-60.78,0.0,0.0,0.0,0.00,0.00,66.94,8.18,-0.96,-0.29
6,69.02,-60.78,0.0,0.0,0.0,0.00,0.00,105.46,10.27,1.00,0.08
7,62.55,-58.27,0.0,0.0,0.0,0.00,0.00,71.81,8.47,-0.99,-0.14
8,69.02,-58.27,0.0,0.0,0.0,0.00,0.00,82.15,9.06,0.99,0.17
9,34.64,-55.76,0.0,0.0,0.0,0.00,0.00,76.15,8.73,-0.86,-0.50
10,37.87,-55.76,0.0,0.0,0.0,0.00,0.00,94.34,9.71,-0.87,0.50
11,44.82,-55.76,0.0,0.0,0.0,1486.14,38.55,80.91,9.00,-0.94,0.33
12,48.63,-55.76,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.92,0.39
13,62.55,-55.76,1.0,0.0,0.0,730.96,27.04,79.85,8.94,-1.00,-0.06
14,69.02,-55.76,0.0,0.0,0.0,478.53,21.88,58.45,7.64,-0.99,0.13
15,31.53,-53.25,0.0,0.0,0.0,0.00,0.00,161.52,12.71,-0.61,-0.80
16,34.64,-53.25,0.0,0.0,0.0,0.00,0.00,196.32,14.01,-0.99,-0.11
17,37.87,-53.25,0.0,0.0,0.0,0.00,0.00,86.20,9.28,-0.99,0.17
18,41.25,-53.25,0.0,0.0,0.0,0.00,0.00,57.26,7.57,-0.88,-0.47
19,44.82,-53.25,0.0,0.0,0.0,3056.28,55.28,217.48,14.75,-0.92,-0.38
20,62.55,-53.25,1.0,0.0,0.0,1042.77,32.29,196.18,14.01,-1.00,-0.01
21,69.02,-53.25,0.0,0.0,0.0,928.53,30.47,157.96,12.57,-1.00,0.08
22,-57.32,-50.74,0.0,0.0,0.0,0.00,0.00,45.67,6.76,1.00,0.04
23,31.53,-50.74,0.0,0.0,0.0,0.00,0.00,208.48,14.44,-0.94,-0.34
24,34.64,-50.74,0.0,0.0,0.0,0.00,0.00,211.31,14.54,-0.99,0.16
25,37.87,-50.74,0.0,0.0,0.0,2741.73,52.36,193.16,13.90,-0.99,0.12
26,41.25,-50.74,0.0,0.0,0.0,2907.98,53.93,228.59,15.12,-0.80,-0.60
27,44.82,-50.74,0.0,0.0,0.0,2262.39,47.56,381.02,19.52,-0.86,-0.50
28,48.63,-50.74,0.0,0.0,0.0,1426.13,37.76,73.25,8.56,-0.85,0.53
29,62.55,-50.74,1.0,0.0,0.0,1546.06,39.32,321.41,17.93,-0.99,-0.15
30,69.02,-50.74,0.0,0.0,0.0,2509.07,50.09,257.61,16.05,-1.00,0.08
31,28.52,-48.23,0.0,0.0,0.0,0.00,0.00,67.16,8.20,0.08,-1.00
32,31.53,-48.23,0.0,0.0,0.0,2604.16,51.03,206.21,14.36,0.98,0.20
33,34.64,-48.23,0.0,0.0,0.0,1561.77,39.52,136.69,11.69,0.80,-0.60
