region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-52.75,-176.24,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.98,0.17
2,-48.63,-176.24,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.32,0.95
3,-44.82,-176.24,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.77,0.63
4,-52.75,-173.73,0.0,0.0,0.0,0.00,0.00,71.28,8.44,-0.95,-0.32
5,-48.63,-173.73,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.98,0.18
6,69.02,-173.73,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.10,-1.00
7,-52.75,-171.22,0.0,0.0,0.0,98.11,9.91,50.55,7.11,0.63,-0.78
8,-48.63,-171.22,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.97,0.25
9,-48.63,-168.71,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.83,0.56
10,-48.63,-166.20,0.0,0.0,0.0,259.33,16.10,91.02,9.54,-0.87,0.49
11,69.02,-158.67,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.03,-1.00
12,62.55,-138.59,0.0,0.0,0.0,650.85,25.51,91.04,9.54,-0.94,0.35
13,69.02,-138.59,0.0,0.0,0.0,200.00,14.14,122.48,11.07,-0.99,-0.12
14,62.55,-136.08,0.0,0.0,0.0,1307.18,36.15,135.20,11.63,0.73,-0.69
15,69.02,-136.08,0.0,0.0,0.0,200.00,14.14,222.14,14.90,-1.00,-0.03
16,62.55,-133.57,0.0,0.0,0.0,1085.26,32.94,98.78,9.94,0.20,-0.98
17,69.02,-133.57,0.0,0.0,0.0,200.00,14.14,320.31,17.90,-0.94,-0.35
18,62.55,-131.06,0.0,0.0,0.0,439.90,20.97,101.90,10.09,-0.05,-1.00
19,69.02,-131.06,0.0,0.0,0.0,200.00,14.14,406.13,20.15,-0.83,-0.55
20,62.55,-128.55,0.0,0.0,0.0,394.57,19.86,110.81,10.53,0.07,-1.00
21,69.02,-128.55,0.0,0.0,0.0,200.00,14.14,493.35,22.21,-0.91,-0.42
22,69.02,-126.04,0.0,0.0,0.0,402.36,20.06,586.09,24.21,-0.84,-0.54
23,62.55,-123.53,0.0,0.0,0.0,0.00,0.00,75.17,8.67,0.06,-1.00
24,69.02,-123.53,1.0,0.0,0.0,469.97,21.68,626.49,25.03,0.14,-0.99
25,69.02,-121.02,0.0,0.0,0.0,793.20,28.16,622.65,24.95,-0.06,-1.00
26,62.55,-118.51,0.0,0.0,0.0,0.00,0.00,74.38,8.62,0.04,-1.00
27,69.02,-118.51,0.0,0.0,0.0,834.21,28.88,594.71,24.39,0.58,0.82
28,62.55,-116.00,0.0,0.0,0.0,0.00,0.00,115.58,10.75,-0.19,-0.98
