region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,52.75,-178.75,0.0,0.0,0.0,214.42,14.64,194.88,13.96,0.91,-0.41
2,57.32,-178.75,0.0,0.0,0.0,200.00,14.14,507.45,22.53,0.72,-0.69
3,62.55,-178.75,0.0,0.0,0.0,274.77,16.58,135.15,11.63,-0.92,0.38
4,52.75,-176.24,0.0,0.0,0.0,10.59,3.25,78.15,8.84,0.93,0.37
5,57.32,-176.24,0.0,0.0,0.0,203.89,14.28,414.91,20.37,0.49,-0.87
6,62.55,-176.24,0.0,0.0,0.0,233.89,15.29,114.42,10.70,0.89,0.46
7,57.32,-173.73,0.0,0.0,0.0,310.93,17.63,337.55,18.37,0.67,-0.74
8,57.32,-171.22,0.0,0.0,0.0,508.62,22.55,235.42,15.34,0.80,-0.59
9,57.32,-168.71,0.0,0.0,0.0,314.42,17.73,147.65,12.15,0.23,-0.97
10,69.02,-131.06,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.62,-0.78
11,34.64,-98.43,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.82,-0.57
12,34.64,-95.92,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.81,-0.59
13,34.64,-93.41,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.79,-0.62
14,57.32,-83.37,0.0,0.0,0.0,0.00,0.00,72.83,8.53,0.80,0.60
15,57.32,-80.86,0.0,0.0,0.0,0.00,0.00,100.42,10.02,-0.10,0.99
16,62.55,-75.84,0.0,0.0,0.0,157.04,12.53,66.88,8.18,-0.77,-0.64
17,69.02,-75.84,0.0,0.0,0.0,200.00,14.14,62.92,7.93,-0.96,0.29
18,62.55,-73.33,0.0,0.0,0.0,157.04,12.53,68.04,8.25,-0.32,0.95
19,69.02,-73.33,0.0,0.0,0.0,200.00,14.14,128.74,11.35,-0.68,-0.74
20,44.82,-70.82,0.0,0.0,0.0,0.00,0.00,109.02,10.44,0.32,-0.95
21,69.02,-70.82,0.0,0.0,0.0,200.00,14.14,143.97,12.00,0.70,-0.72
22,69.02,-68.31,0.0,0.0,0.0,200.00,14.14,105.36,10.26,-0.04,-1.00
23,34.64,-45.72,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-1.00,-0.09
24,3.91,-43.21,0.0,0.0,0.0,200.00,14.14,128.38,11.33,0.15,-0.99
25,6.53,-43.21,0.0,1.0,0.0,200.00,14.14,162.98,12.77,-0.52,0.86
26,14.48,-43.21,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.98,-0.22
27,34.64,-43.21,0.0,0.0,0.0,200.00,14.14,129.73,11.39,-0.99,0.14
28,-1.30,-40.70,1.0,1.0,0.0,0.00,0.00,0.00,0.00,-1.00,-0.06
