region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
139,31.53,19.54,0.39,-0.41,1,0,0,31.53,19.54,31.53,0,0,0,0,0,0,-0.17,-0.99
140,34.64,19.54,0.28,-0.55,1,0,0,34.64,19.54,34.64,41.26,6.42,0.75,0,0,0,-0.29,-0.96
141,37.87,19.54,0.36,-0.45,1,0,0,37.87,19.54,37.87,358.79,18.94,2.67,0,0,0,-0.86,-0.51
142,28.52,22.05,0.51,-0.29,1,0,0,28.52,22.05,28.52,0,0,0,0,0,0,-0.1,1
143,37.87,22.05,0.31,-0.5,1,0,0,37.87,22.05,37.87,389.28,19.73,2.75,0,0,0,-0.03,-1
144,37.87,24.56,0.28,-0.55,1,0,0,37.87,24.56,37.87,412.43,20.31,2.81,0,0,0,-0.24,-0.97
145,41.25,24.56,0.4,-0.39,1,0,0,41.25,24.56,41.25,0,0,0,0,0,0,-0.26,0.97
146,44.82,24.56,0.74,-0.13,1,0,0,44.82,24.56,44.82,0,0,0,0,0,0,0.57,0.82
147,22.74,27.07,0.83,-0.08,1,0,0,22.74,27.07,22.74,0,0,0,0,0,0,0.24,0.97
148,28.52,27.07,0.48,-0.32,1,0,0,28.52,27.07,28.52,0,0,0,0,0,0,0.33,0.94
149,44.82,27.07,0.71,-0.15,1,0,0,44.82,27.07,44.82,0,0,0,0,0,0,0.11,-0.99
150,19.94,29.58,1.45,0.16,0,1,0,19.94,29.58,19.94,200,14.14,2.09,139.79,11.82,1.75,0.06,1
151,31.53,29.58,0.41,-0.39,1,0,0,31.53,29.58,31.53,0,0,0,0,0,0,-0.06,-1
152,37.87,29.58,0.51,-0.29,1,0,0,37.87,29.58,37.87,831.12,28.83,3.5,148.97,12.21,1.81,0.23,0.97
153,19.94,32.09,1.41,0.15,0,1,0,19.94,32.09,19.94,0,0,0,0,0,0,0.5,0.87
154,25.59,32.09,0.72,-0.14,1,0,0,25.59,32.09,25.59,0,0,0,0,0,0,0.59,0.81
