region_id,centroid_x,centroid_y,Precipitation,Log10 Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
1,-52.75,-178.75,1.47,0.17,1,0,0,-52.75,-178.75,52.75,0,0,0,0,0,0,-0.81,0.58
2,-48.63,-176.24,1.62,0.21,1,0,0,-48.63,-176.24,48.63,0,0,0,0,0,0,-0.85,0.52
3,-44.82,-176.24,2.07,0.32,1,0,0,-44.82,-176.24,44.82,0,0,0,0,0,0,-0.75,0.67
4,69.02,-176.24,0.94,-0.03,0,0,0,69.02,-176.24,69.02,200,14.14,2.09,72.04,8.49,1.16,-0.24,-0.97
5,-48.63,-173.73,2.22,0.35,1,0,0,-48.63,-173.73,48.63,0,0,0,0,0,0,-0.81,0.59
6,69.02,-173.73,1.28,0.11,1,0,0,69.02,-173.73,69.02,200,14.14,2.09,70.2,8.38,1.14,0.07,-1
7,-48.63,-171.22,2.17,0.34,1,0,0,-48.63,-171.22,48.63,0,0,0,0,0,0,-0.74,0.67
8,69.02,-171.22,1.15,0.06,0,0,0,69.02,-171.22,69.02,200,14.14,2.09,119.45,10.93,1.61,-0.82,-0.57
9,-48.63,-168.71,1.13,0.05,1,0,0,-48.63,-168.71,48.63,0,0,0,0,0,0,-0.77,0.64
10,69.02,-168.71,1.13,0.05,0,0,0,69.02,-168.71,69.02,200,14.14,2.09,197.04,14.04,2.08,-0.4,-0.91
11,-57.32,-166.2,1.5,0.18,0,0,0,-57.32,-166.2,57.32,278.24,16.68,2.42,75.41,8.68,1.2,-0.31,0.95
12,69.02,-166.2,1.01,0,0,0,0,69.02,-166.2,69.02,200,14.14,2.09,255.82,15.99,2.34,-0.73,-0.68
13,-52.75,-163.69,1.37,0.14,0,0,0,-52.75,-163.69,52.75,0,0,0,44.51,6.67,0.8,-0.99,0.11
14,69.02,-163.69,1.37,0.14,0,0,0,69.02,-163.69,69.02,200,14.14,2.09,334.68,18.29,2.6,-0.51,-0.86
15,-52.75,-161.18,1.41,0.15,0,0,0,-52.75,-161.18,52.75,243.46,15.6,2.29,60.56,7.78,1.02,1,-0.05
16,69.02,-161.18,1.05,0.02,0,0,0,69.02,-161.18,69.02,200,14.14,2.09,396.66,19.92,2.77,-0.71,-0.7
17,-57.32,-158.67,1.49,0.17,0,0,0,-57.32,-158.67,57.32,312.57,17.68,2.53,75.34,8.68,1.2,-0.63,0.77
18,62.55,-158.67,1.31,0.12,0,0,0,62.55,-158.67,62.55,345.17,18.58,2.63,45.21,6.72,0.81,-0.9,-0.44
19,69.02,-158.67,1.02,0.01,1,0,0,69.02,-158.67,69.02,200,14.14,2.09,474.23,21.78,2.95,-0.83,-0.56
20,62.55,-156.16,1.3,0.12,0,0,0,62.55,-156.16,62.55,895.95,29.93,3.58,170.61,13.06,1.94,-1,-0.09
21,69.02,-156.16,1.05,0.02,0,0,0,69.02,-156.16,69.02,200,14.14,2.09,536.41,23.16,3.07,-0.29,-0.96
22,62.55,-153.65,1.3,0.12,0,0,0,62.55,-153.65,62.55,1657.34,40.71,4.19,244.73,15.64,2.29,0.05,-1
23,69.02,-153.65,1.02,0.01,0,0,0,69.02,-153.65,69.02,200,14.14,2.09,575.57,23.99,3.14,-0.48,-0.88
24,62.55,-151.14,1.3,0.12,0,0,0,62.55,-151.14,62.55,976.2,31.24,3.67,163.86,12.8,1.9,0.58,-0.81
25,69.02,-151.14,1.02,0.01,0,0,0,69.02,-151.14,69.02,447.04,21.14,2.89,631.56,25.13,3.23,-0.63,-0.78
26,62.55,-148.63,1.31,0.12,0,0,0,62.55,-148.63,62.55,468.28,21.64,2.93,135.76,11.65,1.72,0.11,-0.99
27,69.02,-148.63,1.06,0.03,0,0,0,69.02,-148.63,69.02,572.24,23.92,3.13,615.93,24.82,3.21,0.58,-0.81
28,62.55,-146.12,1.3,0.11,0,0,0,62.55,-146.12,62.55,0,0,0,49.35,7.02,0.87,0.59,-0.81
29,69.02,-146.12,1.11,0.05,0,0,0,69.02,-146.12,69.02,1135.71,33.7,3.82,565.69,23.78,3.12,0.42,-0.91
30,69.02,-143.61,1.13,0.05,0,0,0,69.02,-143.61,69.02,1964.48,44.32,4.36,533.64,23.1,3.06,0.22,-0.98
31,62.55,-141.1,1.32,0.12,0,0,0,62.55,-141.1,62.55,0,0,0,65.2,8.07,1.08,0.19,-0.98
32,69.02,-141.1,1.15,0.06,0,0,0,69.02,-141.1,69.02,2129.75,46.15,4.45,523.19,22.87,3.04,-0.01,-1
33,69.02,-138.59,1.19,0.08,0,0,0,69.02,-138.59,69.02,2207.84,46.99,4.48,524.75,22.91,3.05,0.05,-1
