,MapNumber,LithologyCode,ModernLatitude,ModernLongitude,Continent,Country,PlateID,FromAge,ToAge,Period,LMU,Stage,Paleolatitude,Paleolongitude,ReconstructionTime
0,06,E,26,11,Africa,Libya,715,419,393.01,Devonian,Lower,,-40.29742057,25.32817811,406.005
1,06,E,41,80,Asia,China,580,419,393.01,Devonian,L - M,,28.74582134,20.47762787,406.005
2,06,E,40,80,Asia,China,580,419,393.01,Devonian,Lower,,28.70719628,21.61713111,406.005
3,06,E,42.2,82,Asia,China,467,419,393.01,Devonian,Lower,,33.37821224,1.617018829,406.005
4,06,E,33.4,104.9,Asia,China,602,419,393.01,Devonian,Lower,,6.951170228,98.25772421,406.005
5,06,E,30.7,102.7,Asia,China,602,419,393.01,Devonian,Lower,,4.433238118,100.3720261,406.005
6,06,E,29.7,98.8,Asia,China,602,419,393.01,Devonian,Lower,,0.917808278,100.3333891,406.005
7,06,E,80,96,Asia,C. I. S.(frm USSR),404,419,393.01,Devonian,L - M,,5.672248002,-109.2231487,406.005
8,06,E,72,90,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,L - M,,17.57893088,-29.77268831,406.005
9,06,E,68,100,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,L - M,,22.47222518,-31.79724857,406.005
10,06,E,73,115,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,L - M,,18.07900693,-37.66276015,406.005
11,06,E,65,130,Asia,C. I. S.(frm USSR),43101,419,393.01,Devonian,L - M,,24.943363,-44.85069489,406.005
12,06,E,62,96,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,Lower,,27.71947409,-28.08557493,406.005
13,06,E,62,138,Asia,C. I. S.(frm USSR),43101,419,393.01,Devonian,Lower,,26.28755856,-49.79591484,406.005
14,06,E,65,147,Asia,C. I. S.(frm USSR),43200,419,393.01,Devonian,Lower,,19.78735145,-54.82864221,406.005
15,06,E,69,87,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,Lower,,19.82800875,-27.4262775,406.005
16,06,E,74,112,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,Lower,,17.08399791,-36.76332908,406.005
17,06,E,62,118,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,Lower,,28.9800032,-39.68194244,406.005
18,06,E,74,90,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,Lower,,15.75588852,-30.63131372,406.005
19,06,E,75,95,Asia,C. I. S.(frm USSR),404,419,393.01,Devonian,Lower,,9.353452413,-105.8029247,406.005
20,06,E,34,57,Asia,Iran,505,419,393.01,Devonian,Lower,,-16.65592951,62.53122808,406.005
21,06,E,36,52,Asia,Iran,505,419,393.01,Devonian,L - M,,-17.69142785,57.88599585,406.005
22,06,E,37,55,Asia,Iran,505,419,393.01,Devonian,Lower,,-15.41663045,59.22215387,406.005
23,06,E,30,39,Asia,Saudi Arabia,503,419,393.01,Devonian,Lower,,-31.13214555,53.96016151,406.005
24,06,E,-36,145,Australia,Victoria,801,419,393.01,Devonian,Lower,,-27.09279878,144.8165018,406.005
25,06,E,-18,124,Australia,nan,801,419,393.01,Devonian,Lower,,-14.51294889,120.5677112,406.005
26,06,E,47,11,Europe,Austria,308,419,393.01,Devonian,Lower,,47,11,406.005
27,06,E,59,-3,United Kingdom,Britain,315,419,393.01,Devonian,Lower,,-24.11259491,-92.83860502,406.005
28,06,E,68,60,Asia,C. I. S.(frm USSR),302,419,393.01,Devonian,Lower,,3.931902327,-94.15309351,406.005
29,06,E,60,49,Asia,C. I. S.(frm USSR),302,419,393.01,Devonian,Lower,,0.596000293,-85.45295637,406.005
30,06,E,48,-3,Europe,France,305,419,393.01,Devonian,Lower,,-23.52489416,4.473504368,406.005
31,06,E,43.5,-6,Europe,Spain,304,419,393.01,Devonian,Lower,,-23.15603541,-4.847547182,406.005
32,06,E,77,22,Europe,Svalbard,311,419,393.01,Devonian,Lower,,-6.645061728,-102.9371885,406.005
33,06,E,78,-80,N. America,Canada,121,419,393.01,Devonian,Lower,,-8.637981063,-110.6302978,406.005
34,06,E,73,-97,N. America,Canada,101,419,393.01,Devonian,Lower,,-12.8897104,-116.9164961,406.005
35,06,E,75,-92,N. America,Canada,121,419,393.01,Devonian,Lower,,-10.60605596,-114.2666733,406.005
36,06,E,78,-88,N. America,Canada,123,419,393.01,Devonian,Lower,,-6.763862408,-113.0138733,406.005
37,06,E,78,-88,N. America,Canada,123,419,393.01,Devonian,Lower,,-6.763862408,-113.0138733,406.005
38,06,E,64,-124.5,N. America,Canada,101,419,393.01,Devonian,Lower,,-12.24952555,-130.5217608,406.005
39,06,E,68,-132,N. America,Canada,101,419,393.01,Devonian,Lower,,-7.665444157,-128.4355,406.005
40,06,E,60.5,-124,N. America,Canada,101,419,393.01,Devonian,Lower,,-14.2824562,-133.4588577,406.005
41,06,E,60,-122,N. America,Canada,101,419,393.01,Devonian,Lower,,-15.38829672,-133.346002,406.005
42,06,E,60,-85,N. America,Canada,101,419,393.01,Devonian,Lower,,-26.64839895,-117.9080413,406.005
43,06,E,53,-80,N. America,Canada,101,419,393.01,Devonian,Lower,,-34.13921419,-117.150458,406.005
44,06,E,42,-85,N. America,United States,101,419,393.01,Devonian,Lower,,-43.46949088,-125.808353,406.005
45,06,CA,24,102,Asia,China,602,419,393.01,Devonian,Lower,,1.931175986,106.6284199,406.005
46,06,CA,56,86,Asia,C. I. S.(frm USSR),401,419,393.01,Devonian,Lower,,30.86251345,-19.78400687,406.005
47,06,CA,-34.8,149.9,Australia,New South Wales,801,419,393.01,Devonian,Lower,,-24.97389134,148.8140433,406.005
48,06,CA,50,6,Europe,Belgium,315,419,393.01,Devonian,Lower,,-25.15947256,-81.46612489,406.005
49,06,CA,50,2,Europe,France,315,419,393.01,Devonian,Lower,,-27.34463017,-82.97642405,406.005
50,06,CA,52.2,10.25,Europe,Ireland,315,419,393.01,Devonian,Lower,,-21.76598212,-82.18945292,406.005
51,06,CA,77.5,22.5,Europe,Svalbard,311,419,393.01,Devonian,Lower,,-6.368297541,-103.3707645,406.005
52,06,CA,78,16,Europe,Svalbard,309,419,393.01,Devonian,Lower,,-7.123042839,-105.4308038,406.005
53,06,CA,53,-3,United Kingdom,England andWales,315,419,393.01,Devonian,Lower,,-28.04606923,-87.79224242,406.005
54,06,CA,53,-5,United Kingdom,England andWales,315,419,393.01,Devonian,Lower,,-28.95678819,-88.68769036,406.005
55,06,CA,52,-5,United Kingdom,England andWales,315,419,393.01,Devonian,Lower,,-29.62115701,-87.83072404,406.005
56,06,CA,51,-2,United Kingdom,England andWales,315,419,393.01,Devonian,Lower,,-28.82282586,-85.58256409,406.005
57,06,CA,56,-3,United Kingdom,England andWales,315,419,393.01,Devonian,Lower,,-26.10127679,-90.35785927,406.005
58,06,CA,52,-4,United Kingdom,England andWales,315,419,393.01,Devonian,Lower,,-29.15591826,-87.36794842,406.005
