region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
223,14.48,17.03,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.65,0.76
224,17.19,17.03,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.99,-0.11
225,28.52,17.03,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.63,-0.78
226,31.53,17.03,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.47,-0.88
227,34.64,17.03,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-1.00,0.09
228,37.87,17.03,1.0,1.0,0.0,967.75,31.11,72.53,8.52,-0.14,0.99
229,14.48,19.54,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.24,0.97
230,28.52,19.54,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.27,-0.96
231,31.53,19.54,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.77,-0.64
232,34.64,19.54,1.0,1.0,0.0,309.84,17.60,135.57,11.64,0.24,-0.97
233,37.87,19.54,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.71,0.71
234,41.25,19.54,1.0,0.0,0.0,200.00,14.14,158.50,12.59,0.15,-0.99
235,11.81,22.05,0.0,1.0,0.0,200.00,14.14,106.98,10.34,-0.74,0.67
236,25.59,22.05,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.22,-0.98
237,28.52,22.05,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.39,-0.92
238,31.53,22.05,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.21,-0.98
239,34.64,22.05,1.0,0.0,0.0,498.99,22.34,64.67,8.04,0.95,0.33
240,37.87,22.05,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.81,-0.59
241,9.16,24.56,0.0,1.0,0.0,200.00,14.14,324.19,18.01,0.91,0.42
242,31.53,24.56,1.0,0.0,0.0,984.20,31.37,79.63,8.92,0.11,-0.99
243,37.87,24.56,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-1.00,0.06
244,41.25,24.56,1.0,0.0,0.0,200.00,14.14,185.85,13.63,0.97,-0.25
245,44.82,24.56,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.47,-0.88
246,14.48,27.07,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.24,0.97
247,19.94,27.07,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.34,0.94
248,22.74,27.07,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.04,-1.00
249,25.59,27.07,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.06,-1.00
