region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
121,3.91,6.99,1.0,0.0,0.0,200.00,14.14,212.45,14.58,0.00,-1.00
122,44.82,6.99,1.0,1.0,0.0,384.49,19.61,218.01,14.77,0.37,-0.93
123,48.63,6.99,1.0,0.0,0.0,196.00,14.00,83.73,9.15,-0.87,0.50
124,52.75,6.99,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.92,-0.39
125,-1.30,9.50,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.36,-0.93
126,6.53,9.50,1.0,0.0,0.0,1004.92,31.70,574.87,23.98,-0.48,-0.87
127,31.53,9.50,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.27,-0.96
128,37.87,9.50,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.99,-0.12
129,44.82,9.50,1.0,0.0,0.0,329.46,18.15,206.45,14.37,0.20,-0.98
130,48.63,9.50,1.0,1.0,0.0,200.00,14.14,156.80,12.52,-0.23,0.97
131,25.59,12.01,1.0,0.0,0.0,200.00,14.14,108.56,10.42,0.91,0.42
132,28.52,12.01,0.0,1.0,0.0,200.00,14.14,109.97,10.49,0.87,0.49
133,37.87,12.01,1.0,0.0,0.0,350.80,18.73,96.90,9.84,-0.01,-1.00
134,41.25,12.01,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.78,0.62
135,44.82,12.01,1.0,0.0,0.0,334.65,18.29,80.05,8.95,0.97,0.25
136,48.63,12.01,1.0,0.0,0.0,200.00,14.14,266.45,16.32,-0.81,0.59
137,31.53,14.52,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.66,0.75
138,34.64,14.52,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.96,-0.28
139,37.87,14.52,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.43,0.90
140,41.25,14.52,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.98,0.21
141,44.82,14.52,1.0,1.0,0.0,247.94,15.75,45.83,6.77,-0.90,0.43
142,48.63,14.52,1.0,0.0,0.0,200.00,14.14,211.97,14.56,0.53,-0.85
143,-31.53,17.03,1.0,0.0,0.0,379.19,19.47,111.04,10.54,-0.88,-0.48
144,-28.52,17.03,0.0,1.0,0.0,1414.23,37.61,205.48,14.33,-0.96,-0.27
145,-19.94,17.03,0.0,1.0,0.0,749.98,27.39,526.23,22.94,-1.00,-0.03
146,25.59,17.03,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.51,0.86
147,34.64,17.03,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.97,-0.23
148,37.87,17.03,1.0,0.0,0.0,200.00,14.14,91.89,9.59,-0.99,0.16
149,41.25,17.03,1.0,1.0,0.0,412.96,20.32,83.05,9.11,-0.03,1.00
150,44.82,17.03,1.0,1.0,0.0,0.00,0.00,0.00,0.00,0.97,-0.24
151,48.63,17.03,1.0,1.0,0.0,200.00,14.14,99.91,10.00,0.72,-0.70
152,-37.87,19.54,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.39,-0.92
153,-34.64,19.54,1.0,0.0,0.0,545.07,23.35,146.65,12.11,-0.96,-0.28
154,37.87,19.54,1.0,0.0,0.0,690.45,26.28,244.69,15.64,-0.92,-0.38
155,41.25,19.54,1.0,0.0,0.0,181.75,13.48,91.21,9.55,0.41,0.91
156,44.82,19.54,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.37,0.93
157,34.64,22.05,1.0,0.0,0.0,1182.54,34.39,112.14,10.59,0.78,-0.63
158,37.87,22.05,1.0,0.0,0.0,261.78,16.18,347.92,18.65,-0.01,1.00
159,41.25,22.05,1.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.94,0.33
160,44.82,22.05,1.0,1.0,0.0,0.00,0.00,0.00,0.00,0.88,0.48
161,31.53,24.56,1.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.14,-0.99
162,34.64,24.56,1.0,1.0,0.0,649.65,25.49,87.95,9.38,-0.59,-0.81
163,37.87,24.56,1.0,1.0,0.0,449.85,21.21,246.42,15.70,0.85,0.52
164,41.25,24.56,1.0,0.0,0.0,0.00,0.00,90.54,9.51,0.40,0.92
165,44.82,24.56,1.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.79,0.62
166,48.63,24.56,1.0,0.0,0.0,200.00,14.14,215.54,14.68,-0.55,-0.83
167,34.64,27.07,1.0,0.0,0.0,1392.06,37.31,110.72,10.52,0.77,-0.64
168,37.87,27.07,1.0,1.0,0.0,1487.24,38.56,125.67,11.21,-0.05,1.00
169,25.59,29.58,0.0,1.0,0.0,200.00,14.14,148.76,12.20,0.95,0.31
170,34.64,29.58,1.0,1.0,0.0,373.89,19.34,66.83,8.18,-0.80,0.60
171,37.87,29.58,1.0,1.0,0.0,1645.18,40.56,186.56,13.66,-0.73,0.68
172,22.74,32.09,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.12,0.99
173,25.59,32.09,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.89,-0.45
174,31.53,32.09,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.86,0.51
175,34.64,32.09,1.0,0.0,0.0,585.05,24.19,71.55,8.46,-0.12,-0.99
176,37.87,32.09,1.0,0.0,0.0,1679.33,40.98,236.84,15.39,-0.03,1.00
177,44.82,32.09,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.47,-0.88
178,-3.91,34.60,0.0,1.0,0.0,1601.72,40.02,265.86,16.31,1.00,-0.04
179,22.74,34.60,0.0,1.0,0.0,1332.58,36.50,102.77,10.14,-0.61,-0.79
180,37.87,34.60,1.0,0.0,0.0,1634.73,40.43,239.15,15.46,0.14,0.99
181,-25.59,37.11,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.98,0.22
182,-1.30,37.11,0.0,1.0,0.0,200.00,14.14,212.82,14.59,0.46,-0.89
183,9.16,37.11,1.0,0.0,0.0,1656.91,40.71,207.71,14.41,1.00,-0.08
184,11.81,37.11,1.0,0.0,0.0,1106.90,33.27,98.68,9.93,0.98,0.22
185,17.19,37.11,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.98,0.22
186,37.87,37.11,1.0,0.0,0.0,1221.95,34.96,125.90,11.22,-0.08,1.00
187,41.25,37.11,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.11,-0.99
188,-9.16,39.62,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.97,-0.25
189,-3.91,39.62,1.0,1.0,0.0,0.00,0.00,0.00,0.00,0.65,-0.76
190,11.81,39.62,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.29,-0.96
191,31.53,39.62,0.0,1.0,0.0,200.00,14.14,68.67,8.29,0.52,-0.85
192,37.87,39.62,1.0,0.0,0.0,918.65,30.31,129.68,11.39,0.25,0.97
193,28.52,42.13,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.97,-0.26
194,31.53,42.13,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.82,0.58
195,41.25,42.13,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.99,0.14
196,9.16,47.15,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.80,-0.60
197,22.74,47.15,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.53,0.85
198,34.64,47.15,0.0,1.0,0.0,1112.62,33.36,169.68,13.03,0.45,0.89
199,6.53,49.66,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.96,-0.28
200,34.64,49.66,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.40,0.92
201,52.75,49.66,1.0,0.0,0.0,575.73,23.99,641.28,25.32,-0.08,-1.00
202,11.81,52.17,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.14,-0.99
203,17.19,52.17,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.90,-0.43
204,19.94,52.17,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-1.00,-0.08
205,34.64,52.17,0.0,1.0,0.0,200.00,14.14,185.14,13.61,-0.57,0.82
206,52.75,52.17,1.0,0.0,0.0,740.08,27.20,678.61,26.05,-0.36,-0.93
207,14.48,54.68,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.87,0.49
208,25.59,57.19,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.75,-0.66
209,48.63,57.19,1.0,0.0,0.0,200.00,14.14,335.87,18.33,-0.50,-0.86
210,48.63,59.70,0.0,1.0,0.0,200.00,14.14,459.48,21.44,-0.79,-0.61
211,31.53,62.21,1.0,0.0,0.0,788.30,28.08,475.50,21.81,0.58,-0.82
212,22.74,64.72,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.97,-0.22
213,25.59,67.23,0.0,1.0,0.0,200.00,14.14,327.03,18.08,-0.99,0.15
214,34.64,67.23,0.0,1.0,0.0,2024.06,44.99,768.04,27.71,-0.29,-0.96
215,41.25,67.23,0.0,1.0,0.0,247.59,15.73,689.21,26.25,-0.99,0.17
