region_id,centroid_x,centroid_y,Precipitation,Log Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,Sin Angle Shore,Cos Angle Shore
48,41.25,-93.41,1.01,0.00,0.0,1.0,0.0,41.25,-93.41,41.25,303.54,17.42,2.50,985.08,31.39,3.67,0.51,-0.86
49,11.81,-83.37,0.61,-0.21,1.0,0.0,0.0,11.81,-83.37,11.81,219.64,14.82,2.19,98.07,9.90,1.43,0.41,-0.91
50,14.48,-83.37,0.60,-0.22,1.0,0.0,0.0,14.48,-83.37,14.48,478.32,21.87,2.95,66.45,8.15,1.10,0.59,-0.81
51,31.53,-83.37,1.11,0.04,1.0,0.0,0.0,31.53,-83.37,31.53,37.82,6.15,0.70,60.27,7.76,1.02,-1.00,-0.05
52,19.94,-78.35,0.42,-0.38,1.0,0.0,0.0,19.94,-78.35,19.94,0.00,0.00,0.00,0.00,0.00,0.00,0.09,-1.00
53,-6.53,-75.84,2.59,0.41,1.0,0.0,0.0,-6.53,-75.84,6.53,445.59,21.11,2.88,250.50,15.83,2.31,-0.74,0.68
54,14.48,-75.84,0.44,-0.36,1.0,0.0,0.0,14.48,-75.84,14.48,0.00,0.00,0.00,0.00,0.00,0.00,-0.30,-0.95
55,-3.91,-73.33,3.14,0.50,0.0,1.0,0.0,-3.91,-73.33,3.91,143.50,11.98,1.78,467.60,21.62,2.93,-0.99,-0.14
56,17.19,-73.33,0.30,-0.53,1.0,0.0,0.0,17.19,-73.33,17.19,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.28
57,19.94,-73.33,0.22,-0.66,0.0,1.0,0.0,19.94,-73.33,19.94,0.00,0.00,0.00,34.65,5.89,0.65,0.98,0.20
58,-48.63,-70.82,2.31,0.36,0.0,0.0,1.0,-48.63,-70.82,48.63,197.12,14.04,2.08,0.00,0.00,0.00,-0.85,-0.52
59,-44.82,-70.82,1.63,0.21,1.0,0.0,0.0,-44.82,-70.82,44.82,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.35
60,1.30,-70.82,3.63,0.56,1.0,0.0,0.0,1.30,-70.82,1.30,236.87,15.39,2.26,430.62,20.75,2.85,-0.95,0.31
61,-57.32,-68.31,1.42,0.15,1.0,0.0,0.0,-57.32,-68.31,57.32,0.00,0.00,0.00,0.00,0.00,0.00,0.13,-0.99
62,-19.94,-68.31,0.64,-0.20,0.0,1.0,0.0,-19.94,-68.31,19.94,73.46,8.57,1.18,0.00,0.00,0.00,-0.98,0.21
63,-17.19,-68.31,1.02,0.01,0.0,1.0,0.0,-17.19,-68.31,17.19,950.00,30.82,3.64,267.15,16.34,2.38,-0.27,-0.96
64,-3.91,-68.31,2.84,0.45,1.0,0.0,0.0,-3.91,-68.31,3.91,48.87,6.99,0.87,590.42,24.30,3.16,1.00,0.07
