region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
1,-44.82,-178.75,1.0,0.0,0.0,0.00,0.00,0.00,0.00,1.00,0.02
2,69.02,-178.75,1.0,0.0,0.0,0.00,0.00,81.39,9.02,0.09,1.00
3,-48.63,-176.24,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.91,0.41
4,69.02,-171.22,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,-1.00
5,69.02,-166.20,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.51,-0.86
6,69.02,-163.69,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.73,-0.68
7,69.02,-151.14,1.0,0.0,0.0,200.00,14.14,133.96,11.57,-0.88,-0.47
8,62.55,-136.08,1.0,0.0,0.0,425.61,20.63,59.74,7.73,0.59,-0.81
9,62.55,-131.06,1.0,0.0,0.0,0.00,0.00,58.43,7.64,0.07,-1.00
10,69.02,-128.55,1.0,0.0,0.0,444.54,21.08,546.39,23.37,0.57,0.82
11,69.02,-126.04,1.0,0.0,0.0,482.00,21.95,494.85,22.25,0.46,0.89
12,62.55,-123.53,1.0,0.0,0.0,0.00,0.00,127.42,11.29,0.11,-0.99
13,69.02,-123.53,1.0,0.0,0.0,665.18,25.79,455.58,21.34,0.32,0.95
14,62.55,-116.00,1.0,0.0,0.0,3162.02,56.23,193.85,13.92,-0.92,-0.38
15,57.32,-113.49,1.0,0.0,0.0,1092.48,33.05,65.16,8.07,-0.27,-0.96
16,62.55,-113.49,1.0,0.0,0.0,3400.00,58.31,286.60,16.93,-0.76,-0.65
17,48.63,-108.47,0.0,0.0,1.0,0.00,0.00,0.00,0.00,-0.83,-0.56
18,44.82,-105.96,1.0,0.0,0.0,2264.93,47.59,138.48,11.77,-0.75,0.66
19,48.63,-105.96,1.0,0.0,1.0,0.00,0.00,0.00,0.00,-1.00,0.03
20,44.82,-103.45,0.0,1.0,0.0,3400.00,58.31,296.59,17.22,-0.72,0.69
21,48.63,-103.45,1.0,0.0,0.0,3380.88,58.15,201.78,14.21,-1.00,0.02
22,52.75,-103.45,1.0,0.0,0.0,3400.00,58.31,396.29,19.91,-0.83,-0.56
23,34.64,-100.94,0.0,1.0,0.0,1387.24,37.25,335.61,18.32,-1.00,0.00
24,31.53,-98.43,0.0,1.0,0.0,3292.29,57.38,420.91,20.52,-0.75,-0.66
25,37.87,-98.43,0.0,1.0,0.0,824.93,28.72,624.86,25.00,-1.00,-0.01
26,44.82,-98.43,1.0,0.0,0.0,1988.13,44.59,640.11,25.30,-0.93,0.36
27,48.63,-98.43,1.0,0.0,0.0,2372.35,48.71,570.49,23.89,-1.00,0.05
28,37.87,-93.41,0.0,0.0,1.0,362.00,19.03,1065.40,32.64,-1.00,0.04
29,41.25,-93.41,1.0,0.0,0.0,200.00,14.14,1115.69,33.40,-0.95,-0.30
30,41.25,-90.90,0.0,1.0,0.0,200.00,14.14,1318.21,36.31,-0.97,-0.23
31,41.25,-88.39,0.0,1.0,0.0,200.00,14.14,1456.34,38.16,0.44,-0.90
32,14.48,-83.37,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.97,0.25
33,28.52,-80.86,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.01,-1.00
34,-6.53,-70.82,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.13,0.99
35,-6.53,-68.31,0.0,1.0,0.0,673.68,25.96,226.41,15.05,-0.80,0.61
36,-3.91,-68.31,1.0,0.0,0.0,343.74,18.54,99.75,9.99,-0.71,0.70
37,17.19,-68.31,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.92,0.40
38,-48.63,-65.80,1.0,0.0,0.0,1016.60,31.88,125.59,11.21,-0.95,0.31
39,-44.82,-65.80,1.0,0.0,0.0,906.33,30.11,70.72,8.41,-0.72,-0.70
