region_id,centroid_x,centroid_y,Coal Deposits,Evaporites Deposits,Glacial Deposits,Elevation,Sqrt Elevation,Dist to Shore,Sqrt Dist,Sin Angle Shore,Cos Angle Shore
135,44.82,19.54,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.43,-0.90
136,48.63,19.54,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-1.00,0.08
137,25.59,22.05,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.40,-0.92
138,28.52,22.05,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.59,-0.81
139,31.53,22.05,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.92,-0.39
140,34.64,22.05,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.87,0.50
141,9.16,24.56,0.0,1.0,0.0,200.00,14.14,301.72,17.37,0.11,0.99
142,11.81,24.56,0.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.25,0.97
143,22.74,24.56,1.0,1.0,0.0,0.00,0.00,0.00,0.00,-0.10,-1.00
144,28.52,24.56,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.23,-0.97
145,31.53,24.56,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.62,-0.78
146,-41.25,27.07,0.0,1.0,0.0,0.00,0.00,0.00,0.00,1.00,0.01
147,6.53,27.07,0.0,1.0,0.0,200.00,14.14,375.47,19.38,0.78,0.63
148,19.94,27.07,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.03,1.00
149,22.74,27.07,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.11,-0.99
150,25.59,27.07,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.15,-0.99
151,31.53,27.07,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.66,-0.75
152,34.64,27.07,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.51,0.86
153,-44.82,29.58,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.98,-0.20
154,-34.64,29.58,0.0,1.0,0.0,312.70,17.68,276.49,16.63,0.67,-0.74
155,11.81,29.58,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.65,0.76
156,31.53,29.58,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.93,-0.38
157,-41.25,32.09,0.0,1.0,0.0,0.00,0.00,0.00,0.00,0.97,-0.23
158,1.30,32.09,1.0,0.0,0.0,200.00,14.14,143.18,11.97,0.29,0.96
159,6.53,32.09,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.85,0.52
160,19.94,32.09,1.0,0.0,0.0,0.00,0.00,0.00,0.00,0.50,0.87
161,34.64,32.09,1.0,0.0,0.0,0.00,0.00,0.00,0.00,-0.49,-0.87
162,-22.74,34.60,1.0,0.0,0.0,694.25,26.35,84.55,9.20,0.99,0.17
