LithologyCode,LithologyType
T,Tillite
D,Dropstone
G,Glendonite
C,Coal
PA,Palm
M,Mangrove
CR,Crocodilians
E,Evaporite
CA,Calcrete
B,Bauxite
L,Laterite
K,Kaolinite
O,Oolitic ironstones
