region_id,centroid_x,centroid_y,Precipitation,Log Precipitation,Coal Deposits,Evaporites Deposits,Glacial Deposits,Latitude,Longitude,Abs Latitude,Squared Abs Latitude,Elevation,Sqrt Elevation,ASinh Elevation Sc50,ASinh Elevation Sc70,Dist to Shore,Sqrt Dist,ASinh Dist Sc50,ASinh Dist Sc70,Sin Angle Shore,Cos Angle Shore
1,-45.32,-178.50,1.19,0.17,1.0,0.0,0.0,-45.32,-178.50,45.32,2053.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,-0.28
2,-13.71,-178.50,2.62,0.96,1.0,0.0,0.0,-13.71,-178.50,13.71,187.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.99
3,67.40,-178.50,0.90,-0.11,0.0,0.0,0.0,67.40,-178.50,67.40,4542.96,200.00,14.14,2.09,1.77,157.38,12.55,1.86,1.55,0.14,-0.99
4,67.40,-175.50,0.83,-0.18,1.0,0.0,0.0,67.40,-175.50,67.40,4542.96,200.00,14.14,2.09,1.77,178.94,13.38,1.99,1.67,0.11,0.99
5,67.40,-172.50,0.82,-0.20,1.0,0.0,0.0,67.40,-172.50,67.40,4542.96,200.00,14.14,2.09,1.77,169.21,13.01,1.93,1.62,0.40,-0.92
6,67.40,-169.50,0.86,-0.15,0.0,0.0,0.0,67.40,-169.50,67.40,4542.96,200.00,14.14,2.09,1.77,157.38,12.55,1.86,1.55,0.14,-0.99
7,67.40,-166.50,0.81,-0.21,0.0,0.0,0.0,67.40,-166.50,67.40,4542.96,200.00,14.14,2.09,1.77,157.38,12.55,1.86,1.55,-0.14,-0.99
8,67.40,-163.50,0.87,-0.14,0.0,0.0,0.0,67.40,-163.50,67.40,4542.96,200.00,14.14,2.09,1.77,157.38,12.55,1.86,1.55,0.14,-0.99
9,67.40,-160.50,0.89,-0.12,0.0,0.0,0.0,67.40,-160.50,67.40,4542.96,200.00,14.14,2.09,1.77,169.21,13.01,1.93,1.62,-0.40,-0.92
10,67.40,-157.50,0.95,-0.05,0.0,0.0,0.0,67.40,-157.50,67.40,4542.96,200.00,14.14,2.09,1.77,251.80,15.87,2.32,1.99,-0.81,-0.59
11,60.42,-154.50,1.22,0.20,0.0,0.0,0.0,60.42,-154.50,60.42,3650.44,473.42,21.76,2.94,2.61,160.24,12.66,1.88,1.57,0.18,-0.98
12,67.40,-154.50,1.01,0.01,0.0,0.0,0.0,67.40,-154.50,67.40,4542.96,200.00,14.14,2.09,1.77,364.51,19.09,2.68,2.35,-0.93,-0.37
13,60.42,-151.50,1.16,0.15,1.0,0.0,0.0,60.42,-151.50,60.42,3650.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.86
14,67.40,-151.50,0.85,-0.16,0.0,0.0,0.0,67.40,-151.50,67.40,4542.96,527.65,22.97,3.05,2.72,486.69,22.06,2.97,2.64,-0.97,-0.24
15,67.40,-148.50,1.02,0.02,0.0,0.0,0.0,67.40,-148.50,67.40,4542.96,769.13,27.73,3.43,3.09,612.13,24.74,3.20,2.86,0.21,-0.98
16,67.40,-145.50,0.96,-0.04,1.0,0.0,0.0,67.40,-145.50,67.40,4542.96,960.00,30.98,3.65,3.31,601.08,24.52,3.18,2.85,0.04,-1.00
17,67.40,-142.50,0.95,-0.05,1.0,0.0,1.0,67.40,-142.50,67.40,4542.96,1046.38,32.35,3.73,3.40,601.08,24.52,3.18,2.85,0.04,-1.00
18,67.40,-139.50,0.94,-0.06,1.0,0.0,0.0,67.40,-139.50,67.40,4542.96,1899.25,43.58,4.33,3.99,601.08,24.52,3.18,2.85,0.04,-1.00
19,67.40,-136.50,0.84,-0.17,1.0,0.0,0.0,67.40,-136.50,67.40,4542.96,1900.00,43.59,4.33,3.99,604.79,24.59,3.19,2.85,-0.13,-0.99
20,67.40,-133.50,0.87,-0.14,1.0,0.0,0.0,67.40,-133.50,67.40,4542.96,1638.58,40.48,4.18,3.85,622.81,24.96,3.22,2.88,0.03,1.00
21,60.42,-130.50,1.82,0.60,0.0,0.0,1.0,60.42,-130.50,60.42,3650.44,1888.33,43.45,4.32,3.99,198.86,14.10,2.09,1.77,-0.98,-0.21
22,67.40,-130.50,0.72,-0.33,0.0,0.0,1.0,67.40,-130.50,67.40,4542.96,1170.59,34.21,3.85,3.51,622.81,24.96,3.22,2.88,0.03,1.00
23,60.42,-127.50,2.24,0.81,0.0,0.0,0.0,60.42,-127.50,60.42,3650.44,1900.00,43.59,4.33,3.99,334.62,18.29,2.60,2.27,-0.62,-0.79
24,67.40,-127.50,0.64,-0.45,0.0,0.0,0.0,67.40,-127.50,67.40,4542.96,1261.81,35.52,3.92,3.59,622.81,24.96,3.22,2.88,0.03,1.00
25,54.75,-124.50,1.97,0.68,0.0,0.0,0.0,54.75,-124.50,54.75,2997.53,1414.00,37.60,4.04,3.70,89.43,9.46,1.34,1.06,-0.37,-0.93
26,60.42,-124.50,1.63,0.49,1.0,0.0,0.0,60.42,-124.50,60.42,3650.44,1878.22,43.34,4.32,3.98,457.09,21.38,2.91,2.58,-0.84,-0.55
27,67.40,-124.50,0.73,-0.31,0.0,0.0,0.0,67.40,-124.50,67.40,4542.96,1348.41,36.72,3.99,3.65,629.47,25.09,3.23,2.89,-0.13,0.99
28,54.75,-121.50,2.58,0.95,1.0,0.0,0.0,54.75,-121.50,54.75,2997.53,1886.05,43.43,4.32,3.99,217.99,14.76,2.18,1.85,-0.46,-0.89
29,60.42,-121.50,1.34,0.29,0.0,0.0,0.0,60.42,-121.50,60.42,3650.44,851.12,29.17,3.53,3.19,603.20,24.56,3.19,2.85,-0.93,-0.38
30,67.40,-121.50,0.65,-0.43,0.0,0.0,0.0,67.40,-121.50,67.40,4542.96,677.55,26.03,3.30,2.97,655.44,25.60,3.27,2.93,-0.27,0.96
31,45.32,-118.50,1.81,0.59,0.0,0.0,0.0,45.32,-118.50,45.32,2053.75,846.51,29.09,3.52,3.19,268.38,16.38,2.38,2.05,-0.71,0.71
32,49.80,-118.50,1.77,0.57,0.0,0.0,0.0,49.80,-118.50,49.80,2480.01,1517.73,38.96,4.11,3.77,109.72,10.47,1.53,1.23,-0.98,0.21
33,54.75,-118.50,1.25,0.22,0.0,0.0,0.0,54.75,-118.50,54.75,2997.53,1900.00,43.59,4.33,3.99,321.52,17.93,2.56,2.23,-0.32,-0.95
34,60.42,-118.50,0.73,-0.31,0.0,0.0,0.0,60.42,-118.50,60.42,3650.44,200.00,14.14,2.09,1.77,741.12,27.22,3.39,3.06,-0.80,-0.61
35,67.40,-118.50,0.54,-0.61,0.0,0.0,0.0,67.40,-118.50,67.40,4542.96,268.60,16.39,2.38,2.05,698.50,26.43,3.33,3.00,-0.39,0.92
36,41.17,-115.50,0.98,-0.03,1.0,0.0,0.0,41.17,-115.50,41.17,1694.98,400.00,20.00,2.78,2.44,210.37,14.50,2.14,1.82,-1.00,-0.08
37,45.32,-115.50,1.07,0.07,0.0,0.0,0.0,45.32,-115.50,45.32,2053.75,400.00,20.00,2.78,2.44,462.91,21.52,2.92,2.59,-0.90,0.44
38,49.80,-115.50,1.14,0.13,1.0,0.0,0.0,49.80,-115.50,49.80,2480.01,1900.00,43.59,4.33,3.99,323.03,17.97,2.56,2.23,-1.00,0.10
39,54.75,-115.50,1.51,0.41,0.0,0.0,0.0,54.75,-115.50,54.75,2997.53,1604.72,40.06,4.16,3.83,427.15,20.67,2.84,2.51,-0.72,-0.69
40,60.42,-115.50,0.65,-0.42,0.0,0.0,0.0,60.42,-115.50,60.42,3650.44,200.00,14.14,2.09,1.77,879.62,29.66,3.56,3.23,-0.88,-0.48
41,67.40,-115.50,0.58,-0.54,0.0,0.0,0.0,67.40,-115.50,67.40,4542.96,200.00,14.14,2.09,1.77,755.65,27.49,3.41,3.07,-0.49,0.87
42,33.57,-112.50,0.62,-0.47,0.0,1.0,0.0,33.57,-112.50,33.57,1126.72,0.00,0.00,0.00,0.00,66.76,8.17,1.10,0.85,-0.69,0.72
43,37.27,-112.50,0.53,-0.64,1.0,0.0,1.0,37.27,-112.50,37.27,1389.17,400.00,20.00,2.78,2.44,223.66,14.96,2.20,1.88,-0.99,-0.12
44,41.17,-112.50,0.87,-0.14,0.0,0.0,1.0,41.17,-112.50,41.17,1694.98,400.00,20.00,2.78,2.44,461.27,21.48,2.92,2.58,-1.00,-0.01
45,45.32,-112.50,1.13,0.13,1.0,0.0,0.0,45.32,-112.50,45.32,2053.75,675.11,25.98,3.30,2.96,655.11,25.60,3.27,2.93,-0.70,-0.71
